date,season,game_type,opponent,is_home,knicks_score,opponent_score,margin,knicks_win,knicks_fgm,knicks_fga,knicks_fg_pct,knicks_fg3m,knicks_fg3a,knicks_fg3_pct,knicks_ftm,knicks_fta,knicks_ft_pct,knicks_oreb,knicks_dreb,knicks_reb,knicks_ast,knicks_tov,knicks_stl,knicks_blk,knicks_pf,knicks_pts,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_tov,opp_stl,opp_blk,opp_pf,opp_pts,knicks_efg_pct,opp_efg_pct,knicks_tov_margin,rebound_margin,oreb_margin,three_point_attempt_margin,free_throw_attempt_margin,assist_turnover_ratio,opp_assist_turnover_ratio,point_margin,game_type_binary
2024-12-25,2024-25,regular_season,SAS,1,117.0,114.0,3.0,1,45,100,0.45,13,39,0.333,14,16,0.875,17,30,47,26,5,7,3,17,117,42,83,0.506,16,38,0.421,14,17,0.824,8,37,45,33,15,3,6,15,114,0.515,0.6024096385542169,-10,2,9,1,-1,5.2,2.2,3.0,0
2025-01-03,2024-25,regular_season,OKC,0,107.0,117.0,-10.0,0,43,90,0.478,9,32,0.281,12,17,0.706,11,31,42,22,12,7,2,17,107,43,84,0.512,14,27,0.519,17,21,0.81,7,34,41,27,13,9,7,17,117,0.5277777777777778,0.5952380952380952,-1,1,4,5,-4,1.8333333333333333,2.076923076923077,-10.0,0
2025-01-10,2024-25,regular_season,OKC,1,101.0,126.0,-25.0,0,37,96,0.385,4,31,0.129,23,23,1.0,16,27,43,18,12,7,3,15,101,48,89,0.539,14,27,0.519,16,18,0.889,8,38,46,20,15,9,9,23,126,0.40625,0.6179775280898876,-3,-3,8,4,5,1.5,1.3333333333333333,-25.0,0
2025-03-19,2024-25,regular_season,SAS,0,105.0,120.0,-15.0,0,39,92,0.424,11,37,0.297,16,21,0.762,17,27,44,28,11,7,7,18,105,45,90,0.5,16,35,0.457,14,20,0.7,15,37,52,28,15,7,7,22,120,0.483695652173913,0.5888888888888889,-4,-8,2,2,1,2.5454545454545454,1.8666666666666667,-15.0,0
2025-12-31,2025-26,regular_season,SAS,0,132.0,134.0,-2.0,0,46,96,0.479,22,52,0.423,18,20,0.9,10,30,40,32,10,7,2,30,132,44,89,0.494,14,38,0.368,32,40,0.8,11,37,48,25,11,7,3,17,134,0.59375,0.5730337078651685,-1,-8,-1,14,-20,3.2,2.272727272727273,-2.0,0
2026-03-01,2025-26,regular_season,SAS,1,114.0,89.0,25.0,1,43,97,0.443,17,48,0.354,11,19,0.579,18,36,54,27,14,13,3,19,114,32,77,0.416,9,34,0.265,16,22,0.727,10,31,41,25,22,7,5,21,89,0.5309278350515464,0.474025974025974,-8,13,8,14,-3,1.9285714285714286,1.1363636363636365,25.0,0
2026-03-04,2025-26,regular_season,OKC,1,100.0,103.0,-3.0,0,37,88,0.42,10,35,0.286,16,22,0.727,12,36,48,23,14,5,3,24,100,33,73,0.452,16,42,0.381,21,25,0.84,3,35,38,21,16,8,0,22,103,0.4772727272727273,0.5616438356164384,-2,10,9,-7,-3,1.6428571428571428,1.3125,-3.0,0
2026-03-29,2025-26,regular_season,OKC,0,100.0,111.0,-11.0,0,36,82,0.439,15,35,0.429,13,17,0.765,15,26,41,19,19,8,3,25,100,35,75,0.467,10,28,0.357,31,38,0.816,12,27,39,21,15,10,0,22,111,0.5304878048780488,0.5333333333333333,4,2,3,7,-21,1.0,1.4,-11.0,0
2026-06-03,2025-26,playoffs,SAS,0,14.0,19.0,-5.0,0,6,17,0.353,2,7,0.286,0,0,,2,6,8,5,4,2,1,4,14,6,18,0.333,2,9,0.222,5,5,1.0,4,8,12,2,2,3,2,2,19,0.4117647058823529,0.3888888888888889,2,-4,-2,-2,-5,1.25,1.0,-5.0,1
