feature,win_mean,loss_mean,difference,cohens_d,abs_cohens_d,direction
wembanyama_plus_minus,14.759036144578314,-5.688888888888889,-20.447925033467204,-2.07729214804925,2.07729214804925,lower_in_losses
team_bench_plus_minus,15.18348623853211,-21.324324324324323,-36.507810562856434,-1.2874668606570803,1.2874668606570803,lower_in_losses
wembanyama_player_efg_pct,0.6102555181917688,0.46709232642025844,-0.14316319177151038,-1.1833439987711547,1.1833439987711547,lower_in_losses
wembanyama_player_ts_pct,0.6559137067801443,0.5232582087977317,-0.1326554979824126,-1.1808077296474022,1.1808077296474022,lower_in_losses
wembanyama_points,26.40963855421687,20.511111111111113,-5.898527443105756,-0.6848341320425446,0.6848341320425446,lower_in_losses
wembanyama_turnovers,2.433734939759036,3.311111111111111,0.8773761713520747,0.5629750085008918,0.5629750085008918,higher_in_losses
wembanyama_fta,6.554216867469879,4.666666666666667,-1.8875502008032123,-0.4837290838329371,0.4837290838329371,lower_in_losses
bench_margin,7.853211009174312,1.662162162162162,-6.19104884701215,-0.47483018593500936,0.47483018593500936,lower_in_losses
team_bench_rebounds,18.229357798165136,15.797297297297296,-2.4320605008678395,-0.4350226965897266,0.4350226965897266,lower_in_losses
team_bench_points,37.1651376146789,33.391891891891895,-3.773245722787003,-0.3436689626673451,0.3436689626673451,lower_in_losses
team_bench_assists,9.275229357798166,8.135135135135135,-1.1400942226630306,-0.25317675040621995,0.25317675040621995,lower_in_losses
opponent_bench_points,29.31192660550459,31.72972972972973,2.4178031242251414,0.2244446872600719,0.2244446872600719,higher_in_losses
wembanyama_assists,3.325301204819277,3.0444444444444443,-0.28085676037483287,-0.13744357909908647,0.13744357909908647,lower_in_losses
wembanyama_pf,2.3132530120481927,2.511111111111111,0.1978580990629184,0.13153477859464147,0.13153477859464147,higher_in_losses
wembanyama_rebounds,11.120481927710843,11.177777777777777,0.05729585006693405,0.01386598056073449,0.01386598056073449,higher_in_losses
wembanyama_blocks,3.3855421686746987,3.4,0.014457831325301207,0.0065576558586806265,0.0065576558586806265,higher_in_losses
