combo,combo_size,games_together,total_combined_minutes,combined_points_per_36,combined_fg3a_per_36,combined_fg3_pct,combined_rebounds_per_36,combined_assists_per_turnover,average_plus_minus,combined_turnovers_per_36,combined_efg_pct,okc_bench_survival_score,sas_spacing_rebounding_score
Karl-Anthony Towns / Mikal Bridges,2,180,12261.0,19.751406899926597,4.918032786885246,0.3773134328358209,8.244678248103744,1.7011331444759208,9.63888888888889,2.0729141179349155,0.5718010429201765,0.40054597548296,0.5986073385721125
Josh Hart / Mikal Bridges,2,175,12221.0,14.920219294656738,4.486375910318305,0.3617859487852922,6.191964651010555,2.579391891891892,7.577142857142857,1.7438834792570166,0.5725968797181681,0.4369656485565834,0.5392678134173512
Mikal Bridges / OG Anunoby,2,171,12083.0,16.931887776214516,5.7800215178349745,0.37061855670103094,4.373748241330795,1.9577464788732395,8.35672514619883,1.4807580898783415,0.5667265782970119,0.4315952312368718,0.5596123953203151
Jalen Brunson / Mikal Bridges,2,170,12074.0,21.321517309922147,6.0586383965545805,0.3661417322834646,3.443763458671526,2.7863777089783284,7.805882352941176,1.9261222461487493,0.5490514905149051,0.4198670932561317,0.5462856073303579
Josh Hart / Karl-Anthony Towns,2,163,10956.0,18.45673603504929,4.163198247535597,0.3851617995264404,11.04381161007667,1.8620218579234973,9.760736196319018,2.4052573932092005,0.574974924774323,0.39001243092670745,0.6228876302107408
Karl-Anthony Towns / OG Anunoby,2,157,10670.0,20.297656982193065,5.371321462043111,0.3907035175879397,9.055670103092783,1.288709677419355,10.363057324840764,2.091846298031865,0.5719953325554259,0.3899425456271878,0.636427734710163
Jalen Brunson / Karl-Anthony Towns,2,156,10692.0,25.087542087542086,5.7407407407407405,0.3835777126099707,8.070707070707071,2.0516795865633073,10.60897435897436,2.606060606060606,0.5554928517682468,0.37833022877643885,0.6248623962271727
Josh Hart / OG Anunoby,2,153,10660.0,15.416510318949344,4.994746716697936,0.3772819472616633,6.977110694183865,2.1194605009633913,8.411764705882353,1.752720450281426,0.5750441436138906,0.42752308661262517,0.5804594619377221
Jalen Brunson / Josh Hart,2,152,10623.0,20.28579497317142,5.232420220276758,0.36787564766839376,5.971194577802881,2.7424698795180724,8.671052631578947,2.250211804574979,0.5531576556110859,0.40838680268587213,0.5606169857425007
Jalen Brunson / OG Anunoby,2,149,10630.0,21.89463781749765,6.451552210724365,0.3784776902887139,4.148635936030104,2.1983739837398373,9.483221476510067,2.0827845719661338,0.551785341407392,0.40345945606444933,0.5802774538657697
Mikal Bridges / Miles McBride,2,135,8067.0,15.29341762737077,6.158423205652659,0.3760869565217391,3.4763852733358127,2.8556338028169015,7.503703703703704,1.267385645221272,0.5552640783490731,0.4625264238325275,0.5572310996315015
Karl-Anthony Towns / Miles McBride,2,126,7253.0,19.556045774162417,6.005790707293534,0.39917355371900826,8.780366744795257,1.7181372549019607,9.365079365079366,2.025093064938646,0.5546662125340599,0.39062933779255327,0.6542603522394433
Jalen Brunson / Miles McBride,2,123,7215.0,21.7995841995842,7.0602910602910605,0.3823321554770318,3.1384615384615384,2.8121827411167515,9.463414634146341,1.965904365904366,0.5386806596701649,0.4234580084641677,0.5835864405925415
Josh Hart / Miles McBride,2,122,7084.0,13.162055335968379,5.086956521739131,0.37162837162837165,6.809712027103331,2.7371601208459215,8.352459016393443,1.6821005081874647,0.5440539239287434,0.43285250206653103,0.568315800664551
