feature,importance
rebound_margin,0.1482633408748852
team_efg_pct,0.11301875820127265
opp_efg_pct,0.10038604636804813
team_fg3_pct,0.07527514172528808
opp_fg3_pct,0.07141522998997538
free_throw_attempt_margin,0.05914668066968913
opp_assist_turnover_ratio,0.05095864297649117
team_ast,0.03973183952490739
opp_pf,0.03496691002029821
oreb_margin,0.034964208809336185
team_fg3a,0.03305990970816248
assist_turnover_ratio,0.032509896983705405
team_fta,0.030898477129871687
opp_fta,0.02947134324774852
opp_tov,0.021781364122511967
opp_oreb,0.02156580521167518
tov_margin,0.021475737580603622
team_oreb,0.02092771092793029
team_pf,0.020800572372948085
opp_fg3a,0.018036974753069212
team_tov,0.014738060430832547
is_home,0.0044727369981935675
game_type_binary,0.0021346113725558397
