feature,win_mean,loss_mean,difference,cohens_d,abs_cohens_d,direction
team_efg_pct,0.5702904401902872,0.5040684792070742,-0.06622196098321298,-1.114865131403919,1.114865131403919,lower_in_losses
rebound_margin,1.1572327044025157,-7.488372093023256,-8.645604797425772,-0.977612683384111,0.977612683384111,lower_in_losses
opp_efg_pct,0.5042894064671771,0.56271755589621,0.05842814942903285,0.9569889016143575,0.9569889016143575,higher_in_losses
opp_assist_turnover_ratio,1.4582404048399151,1.9837582068478665,0.5255178020079514,0.7857407722078799,0.7857407722078799,higher_in_losses
opp_fg3_pct,0.3422327044025157,0.40004651162790694,0.057813807225391256,0.7687352795916634,0.7687352795916634,higher_in_losses
opp_tov,17.572327044025158,14.883720930232558,-2.6886061137926003,-0.6328903478193809,0.6328903478193809,lower_in_losses
team_ast,26.572327044025158,23.3953488372093,-3.176978206815857,-0.6321673575489771,0.6321673575489771,lower_in_losses
tov_margin,-5.433962264150943,-2.302325581395349,3.131636682755594,0.5776528363670573,0.5776528363670573,higher_in_losses
free_throw_attempt_margin,0.20125786163522014,-4.1395348837209305,-4.340792745356151,-0.5454461989672116,0.5454461989672116,lower_in_losses
team_fg3_pct,0.37523270440251577,0.33099999999999996,-0.04423270440251581,-0.5396442979569058,0.5396442979569058,lower_in_losses
opp_fta,22.40251572327044,25.511627906976745,3.109112183706305,0.4403783489196505,0.4403783489196505,higher_in_losses
assist_turnover_ratio,2.4161139347387084,2.021877071836572,-0.3942368629021362,-0.4018682292158074,0.4018682292158074,lower_in_losses
is_home,0.5408805031446541,0.3953488372093023,-0.14553166593535177,-0.29175459827090067,0.29175459827090067,lower_in_losses
team_pf,19.61635220125786,20.53488372093023,0.9185315196723707,0.22368984683318657,0.22368984683318657,higher_in_losses
game_type_binary,0.16981132075471697,0.2558139534883721,0.08600263273365513,0.21986592895624205,0.21986592895624205,higher_in_losses
opp_oreb,11.622641509433961,12.44186046511628,0.8192189556823184,0.2176295639164685,0.2176295639164685,higher_in_losses
team_fta,22.60377358490566,21.372093023255815,-1.2316805616498456,-0.16969672776748534,0.16969672776748534,lower_in_losses
team_tov,12.138364779874214,12.581395348837209,0.4430305689629943,0.12987070810293969,0.12987070810293969,higher_in_losses
opp_fg3a,38.874213836477985,38.13953488372093,-0.7346789527570579,-0.10922467758483924,0.10922467758483924,lower_in_losses
oreb_margin,-1.3459119496855345,-1.930232558139535,-0.5843206084540005,-0.10558967847259994,0.10558967847259994,lower_in_losses
team_fg3a,37.76729559748428,38.27906976744186,0.5117741699575831,0.07758144122171617,0.07758144122171617,higher_in_losses
team_oreb,10.276729559748428,10.511627906976743,0.23489834722831482,0.06034383902441907,0.06034383902441907,higher_in_losses
opp_pf,19.729559748427672,19.488372093023255,-0.241187655404417,-0.051119532591243334,0.051119532591243334,lower_in_losses
