feature,win_mean,loss_mean,difference,cohens_d,abs_cohens_d,direction
rebound_margin,5.513761467889908,-4.716216216216216,-10.229977684106125,-1.150428719628489,1.150428719628489,lower_in_losses
team_efg_pct,0.5741015106344528,0.516709805835602,-0.05739170479885081,-1.0337241860722406,1.0337241860722406,lower_in_losses
opp_efg_pct,0.5092623035455721,0.5646668965584946,0.05540459301292244,0.9070676918211958,0.9070676918211958,higher_in_losses
opp_fg3_pct,0.3348165137614679,0.3878108108108108,0.05299429704934289,0.7743716812793854,0.7743716812793854,higher_in_losses
team_fg3_pct,0.37752293577981655,0.3284864864864865,-0.049036449293330064,-0.7366026942743926,0.7366026942743926,lower_in_losses
team_ast,29.18348623853211,25.986486486486488,-3.196999752045624,-0.6350421107444509,0.6350421107444509,lower_in_losses
free_throw_attempt_margin,4.6422018348623855,0.8378378378378378,-3.8043639970245477,-0.5168339693166243,0.5168339693166243,lower_in_losses
opp_assist_turnover_ratio,2.0446420594436336,2.4140729615532748,0.36943090210964113,0.4151765231903439,0.4151765231903439,higher_in_losses
opp_pf,19.825688073394495,18.094594594594593,-1.7310934787999024,-0.40298129651084413,0.40298129651084413,lower_in_losses
opp_oreb,10.623853211009175,12.22972972972973,1.6058765187205548,0.384779566284368,0.384779566284368,higher_in_losses
assist_turnover_ratio,2.3465765517128823,2.0175199674358377,-0.32905658427704454,-0.37916854197230904,0.37916854197230904,lower_in_losses
tov_margin,-0.22018348623853212,1.3783783783783783,1.5985618646169104,0.30804955261085226,0.30804955261085226,higher_in_losses
team_fta,23.871559633027523,21.7972972972973,-2.074262335730225,-0.30653062581905804,0.30653062581905804,lower_in_losses
oreb_margin,0.5871559633027523,-1.0,-1.5871559633027523,-0.2930180506022369,0.2930180506022369,lower_in_losses
team_fg3a,37.4954128440367,39.351351351351354,1.8559385073146544,0.29207894811571494,0.29207894811571494,higher_in_losses
opp_fta,19.229357798165136,20.95945945945946,1.7301016612943236,0.2613458473851364,0.2613458473851364,higher_in_losses
team_tov,13.34862385321101,14.337837837837839,0.9892139846268293,0.25493054296483475,0.25493054296483475,higher_in_losses
is_home,0.5412844036697247,0.4189189189189189,-0.12236548475080583,-0.24519814802528409,0.24519814802528409,lower_in_losses
team_pf,17.798165137614678,18.527027027027028,0.7288618894123502,0.16743148021746326,0.16743148021746326,higher_in_losses
opp_tov,13.568807339449542,12.95945945945946,-0.6093478799900822,-0.15778070452554546,0.15778070452554546,lower_in_losses
game_type_binary,0.11926605504587157,0.08108108108108109,-0.03818497396479048,-0.12473253641590022,0.12473253641590022,lower_in_losses
opp_fg3a,37.46788990825688,38.08108108108108,0.6131911728242017,0.08208437509518401,0.08208437509518401,higher_in_losses
team_oreb,11.211009174311927,11.22972972972973,0.018720555417802487,0.005447926373347034,0.005447926373347034,higher_in_losses
