combo,combo_size,games_together,total_combined_minutes,combined_points_per_36,combined_fg3a_per_36,combined_fg3_pct,combined_rebounds_per_36,combined_assists_per_turnover,average_plus_minus,combined_turnovers_per_36,combined_efg_pct,okc_bench_survival_score,sas_spacing_rebounding_score
Karl-Anthony Towns / Mohamed Diawara,2,32,1370.0,22.02043795620438,5.649635036496351,0.4232558139534884,11.588321167883212,1.5208333333333333,9.78125,2.5226277372262773,0.6088929219600726,0.3935592009658767,0.7183164103017344
Miles McBride / Mohamed Diawara,2,10,337.0,20.83086053412463,9.186943620178042,0.5,5.234421364985163,7.6,17.2,0.5341246290801187,0.6729323308270677,0.7362670041281022,0.7135022220635665
Jericho Sims / Karl-Anthony Towns,2,21,998.0,20.77755511022044,4.040080160320641,0.4732142857142857,13.490981963927856,1.2615384615384615,9.619047619047619,2.344689378757515,0.61328125,0.3761208406969736,0.692812456080326
Jericho Sims / Karl-Anthony Towns / Miles McBride,3,17,1233.0,18.861313868613138,5.109489051094891,0.4685714285714286,10.18978102189781,1.472972972972973,15.117647058823529,2.1605839416058394,0.6013215859030837,0.44594938836540277,0.6906675719350834
Cameron Payne / Jericho Sims / Karl-Anthony Towns,3,17,1106.0,19.301989150090417,5.045207956600362,0.45806451612903226,10.904159132007234,2.283333333333333,16.176470588235293,1.952983725135624,0.6070559610705596,0.48904626569847115,0.6884746305858305
Karl-Anthony Towns / Mohamed Diawara / OG Anunoby,3,26,1946.0,20.46043165467626,6.123329907502569,0.4078549848942598,9.157245632065775,1.4956521739130435,20.53846153846154,2.1274409044193217,0.6087248322147651,0.49230856597828887,0.6871935910351281
Ariel Hukporti / Karl-Anthony Towns / Miles McBride,3,22,1466.0,18.78581173260573,5.2551159618008185,0.4672897196261682,9.356070941336972,1.6585365853658536,15.090909090909092,2.0136425648021827,0.6158301158301158,0.47055209365453565,0.6859540444576325
Ariel Hukporti / Karl-Anthony Towns / Mohamed Diawara,3,13,688.0,19.726744186046513,3.9767441860465116,0.5394736842105263,11.720930232558139,1.8444444444444446,15.538461538461538,2.354651162790698,0.6866666666666666,0.45634297315141015,0.6823203378165663
Karl-Anthony Towns / Landry Shamet / Mohamed Diawara,3,24,1593.0,18.757062146892654,6.508474576271187,0.3958333333333333,8.384180790960452,1.7444444444444445,21.75,2.0338983050847457,0.6013745704467354,0.5104543510500933,0.6807858139709536
Cameron Payne / Karl-Anthony Towns,2,65,3286.0,22.524650030432138,5.970785149117468,0.3981651376146789,10.111990261716372,1.9362745098039216,8.261538461538462,2.2349360925136943,0.5638368983957219,0.38447610896319884,0.6787908370559808
Ariel Hukporti / Karl-Anthony Towns / Landry Shamet,3,22,1408.0,18.460227272727273,5.215909090909091,0.4166666666666667,10.201704545454545,1.449438202247191,17.90909090909091,2.2755681818181817,0.6115618661257607,0.4651528908235243,0.67517183009838
