feature,importance
knicks_efg_pct,0.1483415676954327
opp_efg_pct,0.14430307050530333
opp_fg3_pct,0.08924227937870453
knicks_fg3_pct,0.07785335147426507
knicks_ast,0.055144720960901325
knicks_tov_margin,0.050791095554128154
rebound_margin,0.05044104674063961
assist_turnover_ratio,0.050041350671511324
opp_assist_turnover_ratio,0.04800032760430489
opp_tov,0.04790059110520228
free_throw_attempt_margin,0.029962561031208014
opp_fta,0.028096998938991268
knicks_pf,0.023542761589261343
opp_oreb,0.022647239246075142
knicks_fg3a,0.02259328871637689
oreb_margin,0.02185759240465157
opp_pf,0.01853089624969738
knicks_fta,0.01733379894530519
opp_fg3a,0.016493823986682032
knicks_oreb,0.01599636613117499
knicks_tov,0.015191128301498468
is_home,0.003570976060560386
game_type_binary,0.002123166708124339
