condition_name,threshold,feature,operator,value,overall_loss_rate,games_condition_true,games_condition_false,wins_when_true,losses_when_true,wins_when_false,losses_when_false,games_meeting_condition,team_win_rate_when_true,team_loss_rate_when_true,team_win_rate_when_false,team_loss_rate_when_false,loss_rate_lift,difference_in_loss_rate
WEMBANYAMA_TS_PCT < 0.55,WEMBANYAMA_TS_PCT < 0.55,wembanyama_player_ts_pct,<,0.55,0.40437158469945356,43,140,15,28,94,46,43,0.3488372093023256,0.6511627906976745,0.6714285714285714,0.3285714285714286,0.2467912059982209,0.32259136212624584
WEMBANYAMA_TOV >= 4,WEMBANYAMA_TOV >= 4,wembanyama_turnovers,>=,4.0,0.40437158469945356,41,142,19,22,90,52,41,0.4634146341463415,0.5365853658536586,0.6338028169014085,0.3661971830985915,0.132213781154205,0.17038818275506706
OPP_FG3_PCT above opponent median,OPP_FG3_PCT above opponent median,opp_fg3_pct,>,0.354,0.40437158469945356,90,93,42,48,67,26,90,0.4666666666666667,0.5333333333333333,0.7204301075268817,0.27956989247311825,0.12896174863387977,0.2537634408602151
SAS_BENCH_MARGIN < 0,SAS_BENCH_MARGIN < 0,bench_margin,<,0.0,0.40437158469945356,68,115,35,33,74,41,68,0.5147058823529411,0.4852941176470589,0.6434782608695652,0.35652173913043483,0.08092253294760532,0.12877237851662404
SAS_BENCH_POINTS < team median,SAS_BENCH_POINTS < team median,team_bench_points,<,34.0,0.40437158469945356,87,96,46,41,63,33,87,0.5287356321839081,0.47126436781609193,0.65625,0.34375,0.06689278311663838,0.12751436781609193
OPP_FG3A above opponent median,OPP_FG3A above opponent median,opp_fg3a,>,38.0,0.40437158469945356,75,108,45,30,64,44,75,0.6,0.4,0.5925925925925926,0.40740740740740744,-0.0043715846994535346,-0.007407407407407418
WEMBANYAMA_BLK <= 2,WEMBANYAMA_BLK <= 2,wembanyama_blocks,<=,2.0,0.40437158469945356,48,135,29,19,80,55,48,0.6041666666666666,0.39583333333333337,0.5925925925925926,0.40740740740740744,-0.008538251366120186,-0.01157407407407407
WEMBANYAMA_PF >= 4,WEMBANYAMA_PF >= 4,wembanyama_pf,>=,4.0,0.40437158469945356,27,156,17,10,92,64,27,0.6296296296296297,0.37037037037037035,0.5897435897435898,0.41025641025641024,-0.03400121432908321,-0.03988603988603989
WEMBANYAMA_REB < 10,WEMBANYAMA_REB < 10,wembanyama_rebounds,<,10.0,0.40437158469945356,50,133,33,17,76,57,50,0.66,0.33999999999999997,0.5714285714285714,0.4285714285714286,-0.06437158469945359,-0.08857142857142863
