condition_name,threshold,feature,operator,value,overall_loss_rate,games_condition_true,games_condition_false,wins_when_true,losses_when_true,wins_when_false,losses_when_false,games_meeting_condition,team_win_rate_when_true,team_loss_rate_when_true,team_win_rate_when_false,team_loss_rate_when_false,loss_rate_lift,difference_in_loss_rate
SGA_TOV >= 4,SGA_TOV >= 4,sga_turnovers,>=,4.0,0.21287128712871284,37,165,25,12,134,31,37,0.6756756756756757,0.32432432432432434,0.8121212121212121,0.18787878787878787,0.1114530371956115,0.13644553644553647
SGA_TS_PCT < 0.58,SGA_TS_PCT < 0.58,sga_player_ts_pct,<,0.58,0.21287128712871284,59,143,40,19,119,24,59,0.6779661016949152,0.3220338983050848,0.8321678321678322,0.1678321678321678,0.10916261117637194,0.15420173047291696
SGA_PTS < 28,SGA_PTS < 28,sga_points,<,28.0,0.21287128712871284,53,149,37,16,122,27,53,0.6981132075471698,0.30188679245283023,0.8187919463087249,0.18120805369127513,0.0890155053241174,0.1206787387615551
OKC_BENCH_POINTS < team median,OKC_BENCH_POINTS < team median,team_bench_points,<,32.0,0.21287128712871284,94,108,67,27,92,16,94,0.7127659574468085,0.2872340425531915,0.8518518518518519,0.14814814814814814,0.07436275542447868,0.13908589440504338
OKC_BENCH_MARGIN < 0,OKC_BENCH_MARGIN < 0,bench_margin,<,0.0,0.21287128712871284,84,118,61,23,98,20,84,0.7261904761904762,0.27380952380952384,0.8305084745762712,0.1694915254237288,0.060938236680811,0.10431799838579503
CHET_BLK <= 1,CHET_BLK <= 1,chet_blocks,<=,1.0,0.21287128712871284,62,140,46,16,113,27,62,0.7419354838709677,0.25806451612903225,0.8071428571428572,0.19285714285714284,0.04519322900031941,0.06520737327188941
JALEN_WILLIAMS_PTS < team median,JALEN_WILLIAMS_PTS < team median,jalen_williams_points,<,20.0,0.21287128712871284,62,140,46,16,113,27,62,0.7419354838709677,0.25806451612903225,0.8071428571428572,0.19285714285714284,0.04519322900031941,0.06520737327188941
SGA_FTA < 8,SGA_FTA < 8,sga_fta,<,8.0,0.21287128712871284,68,134,53,15,106,28,68,0.7794117647058824,0.22058823529411764,0.7910447761194029,0.20895522388059706,0.007716948165404802,0.011633011413520578
