feature,coefficient,abs_coefficient
team_efg_pct,1.9424066541149296,1.9424066541149296
opp_efg_pct,-1.832604443059077,1.832604443059077
rebound_margin,1.6897463736408391,1.6897463736408391
opp_tov,0.8406531193280712,0.8406531193280712
tov_margin,-0.8290545860018044,0.8290545860018044
opp_fg3_pct,-0.8025327543822485,0.8025327543822485
opp_pf,0.6796504272975156,0.6796504272975156
assist_turnover_ratio,0.5995420680377661,0.5995420680377661
opp_fta,-0.541383770560859,0.541383770560859
opp_assist_turnover_ratio,-0.5240111249102293,0.5240111249102293
free_throw_attempt_margin,0.4717572160297152,0.4717572160297152
game_type_binary,-0.26503094475823036,0.26503094475823036
team_tov,-0.22233034091562734,0.22233034091562734
team_pf,-0.21454284801208603,0.21454284801208603
team_ast,-0.21137951601898572,0.21137951601898572
is_home,0.16778775195919762,0.16778775195919762
team_fg3_pct,0.13853137871968735,0.13853137871968735
opp_oreb,0.13095452221001722,0.13095452221001722
opp_fg3a,-0.11864517803170609,0.11864517803170609
team_oreb,0.09615457775418426,0.09615457775418426
team_fta,0.02087647894004172,0.02087647894004172
oreb_margin,-0.019259527293859355,0.019259527293859355
team_fg3a,0.003549250248694495,0.003549250248694495
